Source;Target;Type
cv4.ucm.es;fonts.googleapis.com;Directed
edu.google.com;fonts.googleapis.com;Directed
librelabucm.org;fonts.googleapis.com;Directed
www.youtube.com;fonts.googleapis.com;Directed
www.crunchbase.com;fonts.googleapis.com;Directed
www.profesionalreview.com;fonts.googleapis.com;Directed
www.raspberrypi.org;fonts.googleapis.com;Directed
raspberryparatorpes.net;fonts.googleapis.com;Directed
kodi.tv;fonts.googleapis.com;Directed
mundokodi.com;fonts.googleapis.com;Directed
lamiradadelreplicante.com;fonts.googleapis.com;Directed
www.bible-history.com;fonts.googleapis.com;Directed
divercity.librelabucm.org;fonts.googleapis.com;Directed
cryptoparty.ucm.es;fonts.googleapis.com;Directed
cienciaindignada.com;fonts.googleapis.com;Directed
yts.me;fonts.googleapis.com;Directed
www.dondominio.com;fonts.googleapis.com;Directed
es.wordpress.org;fonts.googleapis.com;Directed
es.wordpress.com;fonts.googleapis.com;Directed
www.drupal.org;fonts.googleapis.com;Directed
redair.es;fonts.googleapis.com;Directed
wallpaperbrowse.com;fonts.googleapis.com;Directed
es.wikihow.com;fonts.googleapis.com;Directed
www.google.com.mx;fonts.googleapis.com;Directed
chrome.google.com;fonts.googleapis.com;Directed
getfedora.org;fonts.googleapis.com;Directed
www.voidlinux.eu;fonts.googleapis.com;Directed
www.openmandriva.org;fonts.googleapis.com;Directed
linuxzone.es;fonts.googleapis.com;Directed
www.muylinux.com;fonts.googleapis.com;Directed
getgnulinux.org;fonts.googleapis.com;Directed
www.linuxadictos.com;fonts.googleapis.com;Directed
minecraft.net;fonts.googleapis.com;Directed
minecraft.curseforge.com;fonts.googleapis.com;Directed
www.minecrafteo.com;fonts.googleapis.com;Directed
aidancbrady.com;fonts.googleapis.com;Directed
vazkii.us;fonts.googleapis.com;Directed
quark.vazkii.us;fonts.googleapis.com;Directed
www.minecraftforum.net;fonts.googleapis.com;Directed
choosealicense.com;fonts.googleapis.com;Directed
www.google.com;fonts.googleapis.com;Directed
yts.am;fonts.googleapis.com;Directed
www.pccomponentes.com;fonts.googleapis.com;Directed
www.offensive-security.com;fonts.googleapis.com;Directed
fdist.librelabucm.org;fonts.googleapis.com;Directed
