Source;Target;Type
cv4.ucm.es;fonts.gstatic.com;Directed
edu.google.com;fonts.gstatic.com;Directed
accounts.google.com;fonts.gstatic.com;Directed
librelabucm.org;fonts.gstatic.com;Directed
www.google.es;fonts.gstatic.com;Directed
www.youtube.com;fonts.gstatic.com;Directed
www.crunchbase.com;fonts.gstatic.com;Directed
www.profesionalreview.com;fonts.gstatic.com;Directed
www.raspberrypi.org;fonts.gstatic.com;Directed
raspberryparatorpes.net;fonts.gstatic.com;Directed
kodi.tv;fonts.gstatic.com;Directed
play.google.com;fonts.gstatic.com;Directed
mundokodi.com;fonts.gstatic.com;Directed
lamiradadelreplicante.com;fonts.gstatic.com;Directed
www.bible-history.com;fonts.gstatic.com;Directed
divercity.librelabucm.org;fonts.gstatic.com;Directed
cryptoparty.ucm.es;fonts.gstatic.com;Directed
cienciaindignada.com;fonts.gstatic.com;Directed
yts.me;fonts.gstatic.com;Directed
www.dondominio.com;fonts.gstatic.com;Directed
es.wordpress.org;fonts.gstatic.com;Directed
es.wordpress.com;fonts.gstatic.com;Directed
redair.es;fonts.gstatic.com;Directed
www.google.com.mx;fonts.gstatic.com;Directed
chrome.google.com;fonts.gstatic.com;Directed
www.voidlinux.eu;fonts.gstatic.com;Directed
www.openmandriva.org;fonts.gstatic.com;Directed
linuxzone.es;fonts.gstatic.com;Directed
getgnulinux.org;fonts.gstatic.com;Directed
www.linuxadictos.com;fonts.gstatic.com;Directed
www.muylinux.com;fonts.gstatic.com;Directed
www.minecrafteo.com;fonts.gstatic.com;Directed
aidancbrady.com;fonts.gstatic.com;Directed
botaniamod.net;fonts.gstatic.com;Directed
vazkii.us;fonts.gstatic.com;Directed
quark.vazkii.us;fonts.gstatic.com;Directed
www.minecraftforum.net;fonts.gstatic.com;Directed
choosealicense.com;fonts.gstatic.com;Directed
www.google.com;fonts.gstatic.com;Directed
yts.am;fonts.gstatic.com;Directed
www.pccomponentes.com;fonts.gstatic.com;Directed
www.offensive-security.com;fonts.gstatic.com;Directed
fdist.librelabucm.org;fonts.gstatic.com;Directed
