Source;Target;Type
add0n.com;www.google.com;Directed
www.ubuntu.com;www.google.es;Directed
www.linuxadictos.com;www.facebook.com;Directed
www.linuxadictos.com;www.google.com;Directed
hdwarena.com;www.google.es;Directed
www.offensive-security.com;www.amazon.es;Directed
www.offensive-security.com;www.google.es;Directed
minecraft.net;www.google.es;Directed
aidancbrady.com;www.youtube.com;Directed
aidancbrady.com;www.google.com;Directed
edu.google.com;www.youtube.com;Directed
edu.google.com;www.google.com;Directed
edu.google.com;www.google.es;Directed
raspberryparatorpes.net;www.google.com;Directed
raspberryparatorpes.net;accounts.google.com;Directed
raspberryparatorpes.net;www.facebook.com;Directed
www.amazon.es;www.google.es;Directed
cv.ucm.es;sso.ucm.es;Directed
www.youtube.com;www.google.com;Directed
www.youtube.com;www.google.es;Directed
www.dondominio.com;www.google.es;Directed
www.dondominio.com;www.facebook.com;Directed
es.wordpress.com;www.google.es;Directed
www.muylinux.com;accounts.google.com;Directed
subadictos.net;www.subadictos.net;Directed
www.bible-history.com;www.google.com;Directed
lamiradadelreplicante.com;www.google.com;Directed
translate.google.es;www.google.com;Directed
translate.google.es;aur.archlinux.org;Directed
cv4.ucm.es;www.youtube.com;Directed
cv4.ucm.es;www.google.com;Directed
cv4.ucm.es;accounts.google.com;Directed
minecraft.curseforge.com;www.google.es;Directed
minecraft.curseforge.com;www.google.com;Directed
www.google.com;accounts.google.com;Directed
www.reddit.com;www.google.es;Directed
www.reddit.com;www.google.com;Directed
librelabucm.org;www.google.com;Directed
es.wikipedia.org;www.google.es;Directed
github.com;www.google.es;Directed
getfedora.org;www.google.es;Directed
www.torproject.org;www.google.es;Directed
cryptoparty.ucm.es;www.google.com;Directed
cryptoparty.ucm.es;librelabucm.org;Directed
apartamentosgrajera.es;www.facebook.com;Directed
chrome.google.com;www.google.com;Directed
chrome.google.com;www.google.es;Directed
chrome.google.com;accounts.google.com;Directed
www.minecraftforum.net;www.google.com;Directed
www.minecraftforum.net;www.youtube.com;Directed
www.minecraftforum.net;www.google.es;Directed
www.minecraftforum.net;accounts.google.com;Directed
store.steampowered.com;www.google.es;Directed
en.wikipedia.org;www.wikipedia.org;Directed
en.wikipedia.org;www.google.es;Directed
calendar.librelabucm.org;accounts.google.com;Directed
www.profesionalreview.com;accounts.google.com;Directed
cienciaindignada.com;www.facebook.com;Directed
cienciaindignada.com;twitter.com;Directed
www.joomla.org;www.google.es;Directed
www.redhat.com;www.google.es;Directed
linuxmint.com;www.google.es;Directed
www.google.com.mx;www.google.es;Directed
www.google.com.mx;www.google.com;Directed
www.google.com.mx;www.youtube.com;Directed
www.google.com.mx;accounts.google.com;Directed
wallpaperbrowse.com;www.google.es;Directed
quark.vazkii.us;vazkii.us;Directed
www.google.es;www.ucm.es;Directed
www.google.es;www.google.com;Directed
www.google.es;www.youtube.com;Directed
www.google.es;wiki.archlinux.org;Directed
www.google.es;translate.google.es;Directed
www.google.es;archlinuxarm.org;Directed
www.google.es;en.wikipedia.org;Directed
www.google.es;retropie.org.uk;Directed
www.google.es;www.raspberrypi.org;Directed
www.google.es;es.wikipedia.org;Directed
www.google.es;github.com;Directed
www.google.es;lamiradadelreplicante.com;Directed
www.google.es;www.bible-history.com;Directed
www.google.es;es.godaddy.com;Directed
www.google.es;www.dondominio.com;Directed
www.google.es;es.wordpress.org;Directed
www.google.es;addons.mozilla.org;Directed
www.google.es;es.wikihow.com;Directed
www.google.es;chrome.google.com;Directed
www.google.es;www.debian.org;Directed
www.google.es;debian-handbook.info;Directed
www.google.es;www.archlinux.org;Directed
www.google.es;www.ubuntu.com;Directed
www.google.es;www.voidlinux.eu;Directed
www.google.es;www.slackware.com;Directed
www.google.es;getgnulinux.org;Directed
www.google.es;www.gnu.org;Directed
www.google.es;www.muylinux.com;Directed
www.google.es;stallman.org;Directed
www.google.es;www.mozilla.org;Directed
www.google.es;store.steampowered.com;Directed
www.google.es;wiki.aidancbrady.com;Directed
www.google.es;duckduckgo.com;Directed
www.google.es;www.torproject.org;Directed
www.google.es;www.amazon.es;Directed
www.minecrafteo.com;www.google.es;Directed
www.elperiodicoextremadura.com;www.google.es;Directed
sso.ucm.es;www.google.com;Directed
www.pcworld.com;www.google.com;Directed
es.godaddy.com;www.google.es;Directed
es.godaddy.com;www.youtube.com;Directed
wiki.aidancbrady.com;www.google.com;Directed
retropie.org.uk;www.youtube.com;Directed
www.mozilla.org;www.google.es;Directed
www.drupal.org;www.google.es;Directed
www.drupal.org;www.facebook.com;Directed
overthewire.org;www.google.es;Directed
botaniamod.net;www.google.es;Directed
botaniamod.net;www.youtube.com;Directed
botaniamod.net;www.google.com;Directed
es.wikihow.com;www.google.com;Directed
es.wikihow.com;accounts.google.com;Directed
es.wikihow.com;www.facebook.com;Directed
www.xataka.com;www.google.es;Directed
vazkii.us;www.google.com;Directed
vazkii.us;botaniamod.net;Directed
vazkii.us;www.youtube.com;Directed
play.google.com;www.google.es;Directed
play.google.com;www.google.com;Directed
addons.mozilla.org;www.google.es;Directed
www.blizzard.com;www.google.es;Directed
aur.archlinux.org;www.google.es;Directed
