Source;Target;Type
linuxzone.es;www.googletagservices.com;Directed
www.pccomponentes.com;www.googletagservices.com;Directed
www.mint.com;4354787.fls.doubleclick.net;Directed
linuxzone.es;platform.twitter.com;Directed
www.crunchbase.com;o.aolcdn.com;Directed
linuxzone.es;ajax.googleapis.com;Directed
www.crunchbase.com;cdn.branch.io;Directed
worldofwarcraft.com;bnetus-a.akamaihd.net;Directed
www.pccomponentes.com;pccomponentes.salesmanago.com;Directed
mundokodi.com;s.clickiocdn.com;Directed
www.crunchbase.com;aol.demdex.net;Directed
www.pccomponentes.com;securepubads.g.doubleclick.net;Directed
worldofwarcraft.com;blznav.akamaized.net;Directed
www.pccomponentes.com;thumb.pccomponentes.com;Directed
mundokodi.com;0.gravatar.com;Directed
www.pexels.com;cat.pexels.com;Directed
www.pccomponentes.com;ad.tagdelivery.com;Directed
www.guiadegrecia.com;pagead2.googlesyndication.com;Directed
www.crunchbase.com;static.olark.com;Directed
www.mint.com;logx.optimizely.com;Directed
worldofwarcraft.com;logx.optimizely.com;Directed
www.mint.com;cdn.optimizely.com;Directed
worldofwarcraft.com;cdn.optimizely.com;Directed
mundokodi.com;s.w.org;Directed
linuxzone.es;s.w.org;Directed
worldofwarcraft.com;a8270235338.cdn.optimizely.com;Directed
www.crunchbase.com;fonts.googleapis.com;Directed
mundokodi.com;fonts.googleapis.com;Directed
linuxzone.es;fonts.googleapis.com;Directed
www.pccomponentes.com;fonts.googleapis.com;Directed
linuxzone.es;apis.google.com;Directed
mundokodi.com;hb.sekindo.com;Directed
www.crunchbase.com;t.co;Directed
worldofwarcraft.com;secure-ds.serving-sys.com;Directed
www.crunchbase.com;static.ads-twitter.com;Directed
worldofwarcraft.com;worldofwarcraft.akamaized.net;Directed
www.crunchbase.com;b.aol.com;Directed
www.pccomponentes.com;static.criteo.net;Directed
www.crunchbase.com;fonts.gstatic.com;Directed
mundokodi.com;fonts.gstatic.com;Directed
linuxzone.es;fonts.gstatic.com;Directed
www.pccomponentes.com;fonts.gstatic.com;Directed
www.pccomponentes.com;cdn.pccomponentes.com;Directed
linuxzone.es;lh4.googleusercontent.com;Directed
www.crunchbase.com;api.autopilothq.com;Directed
worldofwarcraft.com;www.googleadservices.com;Directed
www.pccomponentes.com;www.googleadservices.com;Directed
linuxzone.es;img157.imageshack.us;Directed
www.pexels.com;www.google-analytics.com;Directed
worldofwarcraft.com;www.google-analytics.com;Directed
www.pccomponentes.com;www.google-analytics.com;Directed
www.pccomponentes.com;eu1-search.doofinder.com;Directed
www.crunchbase.com;assets.zendesk.com;Directed
linuxzone.es;ssl.gstatic.com;Directed
mundokodi.com;c.disquscdn.com;Directed
www.guiadegrecia.com;adservice.google.com;Directed
www.pccomponentes.com;adservice.google.com;Directed
worldofwarcraft.com;bs.serving-sys.com;Directed
linuxzone.es;ssl.google-analytics.com;Directed
mundokodi.com;adserver.adtech.de;Directed
www.crunchbase.com;www.googletagmanager.com;Directed
worldofwarcraft.com;www.googletagmanager.com;Directed
www.pccomponentes.com;www.googletagmanager.com;Directed
www.pexels.com;connect.facebook.net;Directed
linuxzone.es;connect.facebook.net;Directed
www.pccomponentes.com;connect.facebook.net;Directed
www.guiadegrecia.com;adservice.google.es;Directed
www.pccomponentes.com;adservice.google.es;Directed
www.pccomponentes.com;cdn.tagdelivery.com;Directed
linuxzone.es;sb.scorecardresearch.com;Directed
worldofwarcraft.com;bnetcmsus-a.akamaihd.net;Directed
linuxzone.es;upload.wikimedia.org;Directed
www.pexels.com;cdn.carbonads.com;Directed
mundokodi.com;www.paypalobjects.com;Directed
www.crunchbase.com;app.link;Directed
www.pccomponentes.com;cdn.doofinder.com;Directed
www.crunchbase.com;cdn.walkme.com;Directed
www.pccomponentes.com;static.hotjar.com;Directed
www.pccomponentes.com;script.hotjar.com;Directed
mundokodi.com;api.at.getsocial.io;Directed
www.pexels.com;images.pexels.com;Directed
www.crunchbase.com;crunchbase-production-res.cloudinary.com;Directed
www.crunchbase.com;cdn.heapanalytics.com;Directed
linuxzone.es;s7.addthis.com;Directed
linuxzone.es;secure.gravatar.com;Directed
www.mint.com;d3js.org;Directed
linuxzone.es;m.addthisedge.com;Directed
www.pccomponentes.com;vars.hotjar.com;Directed
