Source;Target;Type;Cookie;Secure
google.es;wikipedia.org;Directed;False;True
google.es;wikipedia.org;Directed;True;True
ucm.es;twitter.com;Directed;True;False
ucm.es;twitter.com;Directed;True;True
ucm.es;google.com;Directed;True;True
ucm.es;twitter.com;Directed;True;True
ucm.es;twitter.com;Directed;True;True
ucm.es;google.com;Directed;True;True
google.com;google.es;Directed;True;True
google.es;google.com;Directed;True;True
google.es;github.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;urjc.es;Directed;False;True
google.es;google.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;uax.es;Directed;False;False
google.es;uax.es;Directed;False;False
google.es;uax.es;Directed;True;False
uax.es;youtube.com;Directed;True;True
uax.es;youtube.com;Directed;True;True
uax.es;google.es;Directed;True;True
uax.es;google.com;Directed;True;True
uax.es;youtube.com;Directed;True;True
uax.es;youtube.com;Directed;True;True
uax.es;google.es;Directed;True;True
uax.es;google.com;Directed;True;True
uax.es;facebook.com;Directed;True;True
uax.es;facebook.com;Directed;True;True
uax.es;facebook.com;Directed;True;True
uax.es;facebook.com;Directed;True;True
youtube.com;google.com;Directed;True;True
uax.es;youtube.com;Directed;True;True
uax.es;youtube.com;Directed;True;True
uax.es;google.es;Directed;True;True
uax.es;google.com;Directed;True;True
uax.es;facebook.com;Directed;True;True
uax.es;facebook.com;Directed;True;True
uax.es;youtube.com;Directed;True;True
uax.es;youtube.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;instagram.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;instagram.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
instagram.com;facebook.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;facebook.com;Directed;True;True
google.es;facebook.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;youtube.com;Directed;True;True
youtube.com;google.com;Directed;True;True
youtube.com;google.es;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;google.es;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;google.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;google.com;Directed;True;True
minijuegos.com;google.es;Directed;True;True
minijuegos.com;google.es;Directed;True;True
minijuegos.com;google.es;Directed;True;True
minijuegos.com;google.com;Directed;True;True
minijuegos.com;google.es;Directed;True;True
minijuegos.com;google.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
minijuegos.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
seriesblanco.com;facebook.com;Directed;True;True
google.es;google.com;Directed;True;True
google.es;thepiratebay-proxylist.org;Directed;False;True
google.es;google.com;Directed;True;True
google.es;pornhub.com;Directed;False;True
google.es;google.com;Directed;True;True
google.es;forocoches.com;Directed;True;True
forocoches.com;facebook.com;Directed;True;True
forocoches.com;facebook.com;Directed;True;True
forocoches.com;facebook.com;Directed;True;True
forocoches.com;facebook.com;Directed;True;True
forocoches.com;google.es;Directed;True;True
forocoches.com;google.com;Directed;True;True
forocoches.com;google.es;Directed;True;True
forocoches.com;google.com;Directed;True;True
forocoches.com;facebook.com;Directed;True;True
forocoches.com;google.com;Directed;True;True
forocoches.com;google.es;Directed;True;True
forocoches.com;facebook.com;Directed;True;True
forocoches.com;facebook.com;Directed;True;True
forocoches.com;facebook.com;Directed;True;True
forocoches.com;google.com;Directed;True;True
forocoches.com;google.es;Directed;True;True
