Source;Target;Type;Cookie;Secure
google.es;wikipedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;False;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
google.es;wikipedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
wikipedia.org;wikimedia.org;Directed;True;True
