Source;Target;Type;Cookie;Secure
fonts.googleapis.com;gstatic.com;Directed;False;True
addthis.com;addthisedge.com;Directed;False;True
addthis.com;bluekai.com;Directed;True;True
bluekai.com;addthis.com;Directed;True;True
bluekai.com;doubleclick.net;Directed;True;True
mathtag.com;doubleclick.net;Directed;True;False
mathtag.com;bidswitch.net;Directed;True;False
mathtag.com;criteo.com;Directed;True;False
mathtag.com;bluekai.com;Directed;True;False
mathtag.com;bluekai.com;Directed;True;False
mathtag.com;semasio.net;Directed;True;False
mathtag.com;exelator.com;Directed;True;False
mathtag.com;agkn.com;Directed;True;False
mathtag.com;media.net;Directed;True;False
mathtag.com;lijit.com;Directed;True;False
mathtag.com;addthis.com;Directed;True;False
mathtag.com;doubleclick.net;Directed;True;False
mathtag.com;gssprt.jp;Directed;True;False
mathtag.com;exelator.com;Directed;True;False
mathtag.com;doubleclick.net;Directed;True;True
mathtag.com;bluekai.com;Directed;True;False
mathtag.com;semasio.net;Directed;True;False
mathtag.com;criteo.com;Directed;True;False
mathtag.com;lijit.com;Directed;True;False
mathtag.com;bidswitch.net;Directed;True;False
mathtag.com;media.net;Directed;True;False
mathtag.com;bluekai.com;Directed;True;False
mathtag.com;bluekai.com;Directed;True;False
mathtag.com;exelator.com;Directed;True;False
mathtag.com;addthis.com;Directed;True;False
mathtag.com;agkn.com;Directed;True;False
mathtag.com;agkn.com;Directed;True;False
mathtag.com;criteo.com;Directed;True;False
mathtag.com;semasio.net;Directed;True;False
mathtag.com;bidswitch.net;Directed;True;False
mathtag.com;sharethis.com;Directed;True;False
mathtag.com;lijit.com;Directed;True;False
mathtag.com;agkn.com;Directed;True;False
mathtag.com;addthis.com;Directed;True;False
mathtag.com;gssprt.jp;Directed;True;False
mathtag.com;bidswitch.net;Directed;True;False
mathtag.com;exelator.com;Directed;True;False
mathtag.com;agkn.com;Directed;True;False
mathtag.com;media.net;Directed;True;False
mathtag.com;bluekai.com;Directed;True;False
mathtag.com;exelator.com;Directed;True;False
mathtag.com;semasio.net;Directed;True;False
mathtag.com;exelator.com;Directed;True;False
mathtag.com;ibillboard.com;Directed;True;False
minijuegosgratis.com;fonts.googleapis.com;Directed;False;True
smartadserver.com;sascdn.com;Directed;False;False
smartadserver.com;mathtag.com;Directed;True;False
smartadserver.com;mathtag.com;Directed;True;False
smartadserver.com;bidswitch.net;Directed;True;False
smartadserver.com;quantserve.com;Directed;True;False
smartadserver.com;adsymptotic.com;Directed;True;False
smartadserver.com;powerlinks.com;Directed;True;False
smartadserver.com;quantserve.com;Directed;True;False
smartadserver.com;adition.com;Directed;True;False
smartadserver.com;openx.net;Directed;True;False
smartadserver.com;pubmatic.com;Directed;True;False
smartadserver.com;adotmob.com;Directed;True;False
